,ANO,DISTRITO,CONCELHO,NCCO
397,2014.0,Bragança,Mirandela,54
398,2014.0,Bragança,Mogadouro,23
399,2014.0,Bragança,Torre De Moncorvo,21
400,2014.0,Bragança,Torre de Moncorvo,39
401,2014.0,Bragança,Vila FLor,20
402,2014.0,Bragança,Vila Flor,11
403,2014.0,Bragança,Vimioso,22
404,2014.0,Bragança,Vinhais,31
405,2014.0,Castelo Branco,Belmonte,11
406,2014.0,Castelo Branco,Castelo Branco,63
407,2014.0,Castelo Branco,Covilhã,53
408,2014.0,Castelo Branco,Fundão,27
409,2014.0,Castelo Branco,Idanha-a-Nova,25
410,2014.0,Castelo Branco,Idanha-a-nova,11
411,2014.0,Castelo Branco,Oleiros,9
412,2014.0,Castelo Branco,Penamacor,10
413,2014.0,Castelo Branco,Proença-a-Nova,7
414,2014.0,Castelo Branco,Proença-a-nova,1
415,2014.0,Castelo Branco,Sertã,42
416,2014.0,Castelo Branco,Vila Velha de Ródão,12
417,2014.0,Castelo Branco,Vila de Rei,1
418,2014.0,Coimbra,Arganil,24
419,2014.0,Coimbra,Cantanhede,32
420,2014.0,Coimbra,Coimbra,74
421,2014.0,Coimbra,Condeixa-a-Nova,13
422,2014.0,Coimbra,Figueira da Foz,31
423,2014.0,Coimbra,Góis,12
424,2014.0,Coimbra,Lousã,10
425,2014.0,Coimbra,Mira,11
426,2014.0,Coimbra,Miranda Do Corvo,2
427,2014.0,Coimbra,Miranda do Corvo,11
428,2014.0,Coimbra,Montemor-o-Velho,13
429,2014.0,Coimbra,Montemor-o-velho,1
430,2014.0,Coimbra,Oliveira Do Hospital,31
431,2014.0,Coimbra,Oliveira do Hospital,39
432,2014.0,Coimbra,Pampilhosa da Serra,7
433,2014.0,Coimbra,Penacova,15
434,2014.0,Coimbra,Penela,9
435,2014.0,Coimbra,Soure,18
436,2014.0,Coimbra,Tábua,11
437,2014.0,Coimbra,Vila Nova de Poiares,4
438,2014.0,Faro,Albufeira,34
439,2014.0,Faro,Alcoutim,11
440,2014.0,Faro,Aljezur,6
441,2014.0,Faro,Castro Marim,15
442,2014.0,Faro,Faro,32
443,2014.0,Faro,Lagoa,16
444,2014.0,Faro,Lagos,20
445,2014.0,Faro,Loulé,63
446,2014.0,Faro,Monchique,18
447,2014.0,Faro,Olhão,22
448,2014.0,Faro,Portimão,16
449,2014.0,Faro,Silves,46
450,2014.0,Faro,São Brás de Alportel,5
451,2014.0,Faro,Tavira,27
452,2014.0,Faro,Vila Real de Santo António,9
453,2014.0,Faro,Vila do Bispo,5
