,ANO,CONCELHO,NCCO
698,2015,Arruda dos Vinhos,67
699,2015,Aveiro,140
700,2015,Avis,14
701,2015,Azambuja,94
702,2015,Baião,136
703,2015,Barcelos,111
704,2015,Barrancos,4
705,2015,Barreiro,67
706,2015,Batalha,18
707,2015,Beja,70
708,2015,Belmonte,23
709,2015,Benavente,80
710,2015,Bombarral,34
711,2015,Borba,10
712,2015,Boticas,98
713,2015,Braga,166
714,2015,Bragança,94
715,2015,Cabeceiras De Basto,10
716,2015,Cabeceiras de Basto,110
717,2015,Cadaval,53
718,2015,Caldas Da Rainha,2
719,2015,Caldas da Rainha,131
720,2015,Caminha,94
721,2015,Campo Maior,34
722,2015,Cantanhede,38
723,2015,Carrazeda De Ansiães,3
724,2015,Carrazeda de Ansiães,34
725,2015,Carregal Do Sal,2
726,2015,Carregal do Sal,15
727,2015,Cartaxo,42
728,2015,Cascais,81
729,2015,Castanheira de Pêra,8
730,2015,Castelo Branco,132
731,2015,Castelo De Vide,2
732,2015,Castelo de Paiva,30
733,2015,Castelo de Vide,6
734,2015,Castro Daire,109
735,2015,Castro Marim,15
736,2015,Castro Verde,6
737,2015,Celorico De Basto,26
738,2015,Celorico da Beira,25
739,2015,Celorico de Basto,190
740,2015,Chamusca,27
741,2015,Chaves,181
742,2015,Cinfães,297
743,2015,Coimbra,111
744,2015,Condeixa-a-Nova,28
745,2015,Constância,20
746,2015,Coruche,67
747,2015,Covilhã,113
748,2015,Crato,8
749,2015,Cuba,9
750,2015,Elvas,82
751,2015,Entroncamento,19
752,2015,Espinho,55
753,2015,Esposende,37
754,2015,Estarreja,62
755,2015,Estremoz,24
756,2015,Fafe,191
757,2015,Faro,44
758,2015,Felgueiras,310
759,2015,Ferreira do Alentejo,16
760,2015,Ferreira do Zêzere,13
761,2015,Figueira Da Foz,1
762,2015,Figueira da Foz,47
763,2015,Figueira de Castelo Rodrigo,53
764,2015,Figueiró dos Vinhos,12
765,2015,Fornos de Algodres,3
766,2015,Freixo De Espada À Cinta,3
767,2015,Freixo de Espada à Cinta,92
768,2015,Fronteira,6
769,2015,Fundão,70
770,2015,Gavião,10
771,2015,Golegã,11
772,2015,Gondomar,348
773,2015,Gouveia,63
774,2015,Grândola,65
775,2015,Guarda,58
776,2015,Guimarães,316
777,2015,Góis,15
778,2015,Idanha-a-Nova,56
779,2015,Idanha-a-nova,5
780,2015,Lagoa,15
781,2015,Lagos,15
782,2015,Lamego,68
783,2015,Leiria,129
784,2015,Lisboa,78
785,2015,Loulé,75
786,2015,Loures,157
787,2015,Lourinhã,86
788,2015,Lousada,239
789,2015,Lousã,17
790,2015,Macedo De Cavaleiros,12
791,2015,Macedo de Cavaleiros,49
792,2015,Mafra,95
793,2015,Maia,215
794,2015,Mangualde,72
795,2015,Manteigas,3
796,2015,Marco De Canaveses,17
797,2015,Marco de Canaveses,231
798,2015,Marinha Grande,24
799,2015,Marvão,18
800,2015,Matosinhos,94
801,2015,Mação,25
802,2015,Mealhada,30
803,2015,Melgaço,17
804,2015,Mesão frio,10
805,2015,Mira,18
806,2015,Miranda Do Douro,2
807,2015,Miranda do Corvo,33
808,2015,Miranda do Douro,21
809,2015,Mirandela,79
810,2015,Mogadouro,34
811,2015,Moimenta Da Beira,4
812,2015,Moimenta da Beira,41
813,2015,Moita,99
814,2015,Monchique,16
815,2015,Mondim de Basto,31
816,2015,Monforte,7
817,2015,Montalegre,321
818,2015,Montemor-o-Novo,25
819,2015,Montemor-o-Velho,32
820,2015,Montemor-o-velho,1
821,2015,Montijo,111
822,2015,Monção,95
823,2015,Mora,12
824,2015,Mortágua,8
825,2015,Moura,65
826,2015,Mourão,10
827,2015,Murtosa,12
828,2015,Murça,40
829,2015,Mértola,20
830,2015,Mêda,46
831,2015,Nazaré,18
832,2015,Nelas,41
833,2015,Nisa,21
834,2015,ODIVELAS,92
835,2015,Odemira,50
836,2015,Odivelas,7
837,2015,Oeiras,44
838,2015,Oleiros,12
839,2015,Olhão,34
840,2015,Oliveira De Azeméis,16
841,2015,Oliveira De Frades,1
842,2015,Oliveira Do Hospital,6
843,2015,Oliveira de Azeméis,97
844,2015,Oliveira de Frades,55
845,2015,Oliveira do Bairro,43
846,2015,Oliveira do Hospital,72
847,2015,Ourique,11
848,2015,Ourém,78
849,2015,Ovar,60
850,2015,Palmela,151
851,2015,Pampilhosa da Serra,11
852,2015,Paredes,401
853,2015,Paredes De Coura,17
854,2015,Paredes de Coura,45
855,2015,Paços De Ferreira,1
856,2015,Paços de Ferreira,219
857,2015,Pedrógão Grande,51
858,2015,Penacova,28
859,2015,Penafiel,444
860,2015,Penalva Do Castelo,1
861,2015,Penalva do Castelo,13
862,2015,Penamacor,32
863,2015,Penedono,15
864,2015,Penela,20
865,2015,Peniche,42
866,2015,Peso da Régua,34
867,2015,Pinhel,30
868,2015,Pombal,104
869,2015,Ponte Da Barca,41
870,2015,Ponte De Lima,27
871,2015,Ponte De Sor,1
872,2015,Ponte da Barca,132
873,2015,Ponte de Lima,240
874,2015,Ponte de Sor,42
875,2015,Portalegre,29
876,2015,Portel,18
877,2015,Portimão,18
878,2015,Porto,1
879,2015,Porto De Mós,3
880,2015,Porto de Mós,57
881,2015,Proença-a-Nova,15
882,2015,Póvoa De Lanhoso,16
883,2015,Póvoa De Varzim,1
884,2015,Póvoa de Lanhoso,199
885,2015,Póvoa de Varzim,64
886,2015,Redondo,14
887,2015,Reguengos de Monsaraz,22
888,2015,Resende,131
889,2015,Ribeira De Pena,3
890,2015,Ribeira de Pena,85
891,2015,Rio Maior,61
892,2015,Sabrosa,24
893,2015,Sabugal,70
894,2015,Salvaterra De Magos,1
895,2015,Salvaterra de Magos,56
896,2015,Santa Comba Dão,14
897,2015,Santa Maria Da Feira,20
898,2015,Santa Maria da Feira,166
899,2015,Santa Marta De Penaguião,6
900,2015,Santa Marta de Penaguião,16
901,2015,Santarém,162
902,2015,Santiago do Cacém,37
903,2015,Santo Tirso,302
904,2015,Sardoal,8
905,2015,Seia,67
906,2015,Seixal,129
907,2015,Sernancelhe,42
908,2015,Serpa,32
909,2015,Sertã,47
910,2015,Sesimbra,29
911,2015,Setúbal,87
912,2015,Sever do Vouga,69
913,2015,Silves,55
914,2015,Sines,17
915,2015,Sintra,266
916,2015,Sobral De Monte Agraço,7
917,2015,Sobral de Monte Agraço,46
918,2015,Soure,31
919,2015,Sousel,10
920,2015,Sátão,19
921,2015,São Brás de Alportel,11
922,2015,São João da Madeira,10
923,2015,São João da Pesqueira,44
924,2015,São Pedro Do Sul,5
925,2015,São Pedro do Sul,31
926,2015,TROFA,54
927,2015,Tabuaço,14
928,2015,Tarouca,38
929,2015,Tavira,34
930,2015,Terras De Bouro,13
931,2015,Terras de Bouro,73
932,2015,Tomar,111
933,2015,Tondela,68
934,2015,Torre De Moncorvo,10
935,2015,Torre de Moncorvo,65
936,2015,Torres Novas,60
937,2015,Torres Vedras,176
938,2015,Trancoso,40
939,2015,Trofa,41
940,2015,Tábua,43
941,2015,VIZELA,35
942,2015,Vagos,30
943,2015,Vale de Cambra,44
944,2015,Valença,57
945,2015,Valongo,131
946,2015,Valpaços,175
947,2015,Vendas Novas,19
948,2015,Viana Do Castelo,29
949,2015,Viana do Alentejo,4
950,2015,Viana do Castelo,192
951,2015,Vidigueira,20
952,2015,Vieira Do Minho,14
953,2015,Vieira do Minho,166
954,2015,Vila Do Conde,3
955,2015,Vila FLor,23
956,2015,Vila Flor,4
