ANO,DISTRITO,CONCELHO,NCCO
2015,Beja,Moura,65
2015,Beja,Mértola,20
2015,Beja,Odemira,50
2015,Beja,Ourique,11
2015,Beja,Serpa,32
2015,Beja,Vidigueira,20
2015,Braga,Amares,52
2015,Braga,Barcelos,111
2015,Braga,Braga,166
2015,Braga,Cabeceiras de Basto,120
2015,Braga,Celorico de Basto,216
2015,Braga,Esposende,37
2015,Braga,Fafe,191
2015,Braga,Guimarães,316
2015,Braga,Póvoa de Lanhoso,215
2015,Braga,Terras de Bouro,86
2015,Braga,Vieira do Minho,180
2015,Braga,Vila Nova de Famalicão,120
2015,Braga,Vila Verde,195
2015,Braga,Vizela,44
2015,Bragança,Alfândega da Fé,21
2015,Bragança,Bragança,94
2015,Bragança,Carrazeda de Ansiães,37
2015,Bragança,Freixo de Espada à Cinta,95
2015,Bragança,Macedo de Cavaleiros,61
2015,Bragança,Miranda do Douro,23
2015,Bragança,Mirandela,79
2015,Bragança,Mogadouro,34
2015,Bragança,Torre de Moncorvo,75
2015,Bragança,Vila Flor,27
2015,Bragança,Vimioso,32
2015,Bragança,Vinhais,108
2015,Castelo Branco,Belmonte,23
2015,Castelo Branco,Castelo Branco,132
2015,Castelo Branco,Covilhã,113
2015,Castelo Branco,Fundão,70
2015,Castelo Branco,Idanha-a-Nova,61
2015,Castelo Branco,Oleiros,12
2015,Castelo Branco,Penamacor,32
2015,Castelo Branco,Proença-a-Nova,15
2015,Castelo Branco,Sertã,47
2015,Castelo Branco,Vila de Rei,6
2015,Castelo Branco,Vila Velha de Ródão,33
2015,Coimbra,Arganil,48
2015,Coimbra,Cantanhede,38
2015,Coimbra,Coimbra,111
2015,Coimbra,Condeixa-a-Nova,28
2015,Coimbra,Figueira da Foz,48
2015,Coimbra,Góis,15
2015,Coimbra,Lousã,17
2015,Coimbra,Mira,18
2015,Coimbra,Miranda do Corvo,33
2015,Coimbra,Montemor-o-Velho,33
2015,Coimbra,Oliveira do Hospital,78
2015,Coimbra,Pampilhosa da Serra,11
2015,Coimbra,Penacova,28
2015,Coimbra,Penela,20
2015,Coimbra,Soure,31
